MainElement
0.825	0.0241
0.821	0.0245
0.813	0.025
0.79	0.0252
0.775	0.0249
0.755	0.0235
0.73	0.0195
0.707	0.012
0.69	0.0023
0.6785	-0.01
0.677	-0.02
0.676	-0.026
0.6755	-0.0287
0.65	-0.0331
0.6	-0.0389
0.55	-0.0423
0.5	-0.0443
0.45	-0.0455
0.4	-0.0462
0.35	-0.0465
0.3	-0.0463
0.25	-0.0456
0.2	-0.0441
0.15	-0.0416
0.11667	-0.0391
0.11	-0.0386
0.075	-0.0346
0.05	-0.0304
0.0325	-0.0263
0.02	-0.0222
0.0125	-0.0187
0.007	-0.015
0.004	-0.01185
0.0015	-0.0075
0.00035	-0.0035
0.0	0.0
0.00035	0.0035
0.0015	0.0075
0.004	0.01185
0.007	0.015
0.0125	0.0187
0.02	0.0222
0.0325	0.0263
0.05	0.0304
0.075	0.0346
0.11	0.0386
0.11667	0.03910025
0.15	0.0416
0.2	0.0441
0.25	0.0456
0.3	0.0463
0.35	0.0465
0.4	0.0462
0.5	0.0444
0.55	0.0429
0.6	0.0409
0.65	0.0384
0.675	0.0369
0.705	0.0352
0.73	0.03325
0.755	0.03125
0.775	0.0296
0.79	0.02813
0.8025	0.02705
0.813	0.02605
0.821	0.0253
0.825	0.0249
